"Label (Grouping)","Alabama!!Owner-occupied housing units with a mortgage!!Estimate","Alabama!!Percent owner-occupied housing units with a mortgage!!Estimate","Alaska!!Owner-occupied housing units with a mortgage!!Estimate","Alaska!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Percent owner-occupied housing units with a mortgage!!Estimate","California!!Owner-occupied housing units with a mortgage!!Estimate","California!!Percent owner-occupied housing units with a mortgage!!Estimate","Colorado!!Owner-occupied housing units with a mortgage!!Estimate","Colorado!!Percent owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Percent owner-occupied housing units with a mortgage!!Estimate","Delaware!!Owner-occupied housing units with a mortgage!!Estimate","Delaware!!Percent owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Percent owner-occupied housing units with a mortgage!!Estimate","Florida!!Owner-occupied housing units with a mortgage!!Estimate","Florida!!Percent owner-occupied housing units with a mortgage!!Estimate","Georgia!!Owner-occupied housing units with a mortgage!!Estimate","Georgia!!Percent owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Percent owner-occupied housing units with a mortgage!!Estimate","Idaho!!Owner-occupied housing units with a mortgage!!Estimate","Idaho!!Percent owner-occupied housing units with a mortgage!!Estimate","Illinois!!Owner-occupied housing units with a mortgage!!Estimate","Illinois!!Percent owner-occupied housing units with a mortgage!!Estimate","Indiana!!Owner-occupied housing units with a mortgage!!Estimate","Indiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Iowa!!Owner-occupied housing units with a mortgage!!Estimate","Iowa!!Percent owner-occupied housing units with a mortgage!!Estimate","Kansas!!Owner-occupied housing units with a mortgage!!Estimate","Kansas!!Percent owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Percent owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Maine!!Owner-occupied housing units with a mortgage!!Estimate","Maine!!Percent owner-occupied housing units with a mortgage!!Estimate","Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Percent owner-occupied housing units with a mortgage!!Estimate","Michigan!!Owner-occupied housing units with a mortgage!!Estimate","Michigan!!Percent owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Percent owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Percent owner-occupied housing units with a mortgage!!Estimate","Missouri!!Owner-occupied housing units with a mortgage!!Estimate","Missouri!!Percent owner-occupied housing units with a mortgage!!Estimate","Montana!!Owner-occupied housing units with a mortgage!!Estimate","Montana!!Percent owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Percent owner-occupied housing units with a mortgage!!Estimate","Nevada!!Owner-occupied housing units with a mortgage!!Estimate","Nevada!!Percent owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Percent owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Percent owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Percent owner-occupied housing units with a mortgage!!Estimate","New York!!Owner-occupied housing units with a mortgage!!Estimate","New York!!Percent owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Ohio!!Owner-occupied housing units with a mortgage!!Estimate","Ohio!!Percent owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Percent owner-occupied housing units with a mortgage!!Estimate","Oregon!!Owner-occupied housing units with a mortgage!!Estimate","Oregon!!Percent owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Percent owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Percent owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Texas!!Owner-occupied housing units with a mortgage!!Estimate","Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Utah!!Owner-occupied housing units with a mortgage!!Estimate","Utah!!Percent owner-occupied housing units with a mortgage!!Estimate","Vermont!!Owner-occupied housing units with a mortgage!!Estimate","Vermont!!Percent owner-occupied housing units with a mortgage!!Estimate","Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Washington!!Owner-occupied housing units with a mortgage!!Estimate","Washington!!Percent owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Percent owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Percent owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Percent owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","694,367","694,367","102,706","102,706","1,072,502","1,072,502","410,135","410,135","4,988,711","4,988,711","994,356","994,356","609,456","609,456","165,425","165,425","91,179","91,179","2,890,964","2,890,964","1,568,112","1,568,112","170,872","170,872","290,501","290,501","2,002,424","2,002,424","1,166,290","1,166,290","543,108","543,108","442,557","442,557","661,520","661,520","593,733","593,733","247,344","247,344","1,073,634","1,073,634","1,105,499","1,105,499","1,671,899","1,671,899","1,024,974","1,024,974","365,204","365,204","986,408","986,408","164,197","164,197","300,417","300,417","435,070","435,070","242,076","242,076","1,377,645","1,377,645","279,825","279,825","2,366,391","2,366,391","1,623,735","1,623,735","106,417","106,417","1,924,876","1,924,876","522,069","522,069","667,980","667,980","2,076,151","2,076,151","171,436","171,436","780,604","780,604","129,323","129,323","1,010,900","1,010,900","3,408,366","3,408,366","491,897","491,897","116,755","116,755","1,419,521","1,419,521","1,233,756","1,233,756","244,953","244,953","1,003,101","1,003,101","94,761","94,761","302,284","302,284"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","39,762","5.7%","1,301","1.3%","27,115","2.5%","25,906","6.3%","50,607","1.0%","14,187","1.4%","8,749","1.4%","2,690","1.6%","700","0.8%","74,152","2.6%","52,616","3.4%","1,231","0.7%","6,321","2.2%","64,155","3.2%","52,303","4.5%","24,296","4.5%","22,002","5.0%","32,650","4.9%","26,269","4.4%","8,347","3.4%","19,233","1.8%","10,873","1.0%","89,269","5.3%","22,770","2.2%","29,557","8.1%","48,211","4.9%","5,016","3.1%","11,904","4.0%","7,987","1.8%","4,085","1.7%","19,509","1.4%","11,371","4.1%","52,902","2.2%","46,822","2.9%","4,226","4.0%","78,304","4.1%","27,544","5.3%","9,873","1.5%","69,616","3.4%","2,674","1.6%","37,309","4.8%","6,279","4.9%","36,136","3.6%","114,559","3.4%","9,409","1.9%","2,239","1.9%","24,945","1.8%","15,800","1.3%","16,284","6.6%","24,316","2.4%","2,451","2.6%","5,711","1.9%"
"        $50,000 to $99,999","126,732","18.3%","2,485","2.4%","43,691","4.1%","88,898","21.7%","49,439","1.0%","17,630","1.8%","16,615","2.7%","4,764","2.9%","552","0.6%","185,507","6.4%","163,318","10.4%","1,559","0.9%","14,350","4.9%","233,333","11.7%","234,396","20.1%","102,701","18.9%","76,546","17.3%","112,746","17.0%","70,644","11.9%","22,503","9.1%","26,731","2.5%","8,759","0.8%","246,365","14.7%","54,159","5.3%","77,430","21.2%","152,276","15.4%","7,376","4.5%","38,636","12.9%","7,352","1.7%","6,493","2.7%","24,607","1.8%","23,570","8.4%","188,708","8.0%","189,660","11.7%","8,007","7.5%","360,433","18.7%","100,241","19.2%","10,186","1.5%","246,255","11.9%","2,961","1.7%","94,765","12.1%","14,192","11.0%","132,105","13.1%","346,212","10.2%","5,888","1.2%","5,107","4.4%","65,187","4.6%","17,276","1.4%","57,029","23.3%","107,410","10.7%","3,516","3.7%","70,384","23.3%"
"        $100,000 to $299,999","408,685","58.9%","50,283","49.0%","598,719","55.8%","238,302","58.1%","705,843","14.1%","272,153","27.4%","309,502","50.8%","90,290","54.6%","8,147","8.9%","1,591,788","55.1%","898,937","57.3%","13,205","7.7%","170,444","58.7%","1,081,655","54.0%","710,148","60.9%","328,142","60.4%","255,657","57.8%","406,313","61.4%","376,052","63.3%","154,319","62.4%","416,612","38.8%","294,869","26.7%","990,180","59.2%","597,100","58.3%","218,413","59.8%","598,632","60.7%","86,860","52.9%","195,718","65.1%","200,946","46.2%","126,744","52.4%","491,808","35.7%","183,221","65.5%","818,165","34.6%","943,652","58.1%","65,160","61.2%","1,176,833","61.1%","315,832","60.5%","223,689","33.5%","1,196,823","57.6%","94,557","55.2%","455,433","58.3%","81,910","63.3%","591,891","58.6%","1,929,131","56.6%","218,789","44.5%","73,229","62.7%","613,090","43.2%","367,879","29.8%","141,197","57.6%","643,031","64.1%","59,858","63.2%","209,802","69.4%"
"        $300,000 to $499,999","89,306","12.9%","37,611","36.6%","280,745","26.2%","42,065","10.3%","1,349,694","27.1%","413,877","41.6%","173,808","28.5%","53,229","32.2%","24,676","27.1%","710,945","24.6%","306,655","19.6%","38,659","22.6%","77,776","26.8%","409,749","20.5%","127,502","10.9%","71,618","13.2%","65,892","14.9%","81,113","12.3%","90,015","15.2%","46,623","18.8%","384,667","35.8%","400,054","36.2%","257,330","15.4%","256,265","25.0%","30,816","8.4%","135,389","13.7%","44,075","26.8%","42,879","14.3%","163,053","37.5%","80,736","33.4%","482,681","35.0%","43,343","15.5%","563,394","23.8%","308,264","19.0%","21,611","20.3%","236,677","12.3%","55,931","10.7%","272,002","40.7%","397,957","19.2%","52,966","30.9%","129,503","16.6%","21,037","16.3%","173,395","17.2%","694,867","20.4%","184,533","37.5%","27,397","23.5%","398,126","28.0%","433,752","35.2%","24,559","10.0%","175,721","17.5%","20,641","21.8%","11,133","3.7%"
"        $500,000 to $749,999","19,204","2.8%","8,472","8.2%","79,458","7.4%","7,997","1.9%","1,280,746","25.7%","184,283","18.5%","52,081","8.5%","8,937","5.4%","22,666","24.9%","197,240","6.8%","97,191","6.2%","53,766","31.5%","14,129","4.9%","131,301","6.6%","28,818","2.5%","12,222","2.3%","14,295","3.2%","19,345","2.9%","19,935","3.4%","10,248","4.1%","152,620","14.2%","237,561","21.5%","59,518","3.6%","66,479","6.5%","5,921","1.6%","34,108","3.5%","14,127","8.6%","7,558","2.5%","39,411","9.1%","16,962","7.0%","227,541","16.5%","11,576","4.1%","376,377","15.9%","86,931","5.4%","5,111","4.8%","51,676","2.7%","13,152","2.5%","111,089","16.6%","114,215","5.5%","11,111","6.5%","41,955","5.4%","4,135","3.2%","48,950","4.8%","206,755","6.1%","50,940","10.4%","5,611","4.8%","200,845","14.1%","212,109","17.2%","4,259","1.7%","35,291","3.5%","4,549","4.8%","3,318","1.1%"
"        $750,000 to $999,999","7,337","1.1%","1,817","1.8%","23,128","2.2%","3,907","1.0%","673,367","13.5%","56,966","5.7%","21,472","3.5%","3,016","1.8%","16,753","18.4%","65,247","2.3%","27,667","1.8%","34,790","20.4%","4,255","1.5%","41,771","2.1%","8,034","0.7%","2,396","0.4%","5,145","1.2%","5,451","0.8%","5,601","0.9%","2,816","1.1%","41,493","3.9%","82,421","7.5%","16,720","1.0%","17,073","1.7%","1,442","0.4%","10,285","1.0%","3,709","2.3%","1,978","0.7%","8,629","2.0%","4,012","1.7%","77,787","5.6%","3,860","1.4%","177,251","7.5%","28,949","1.8%","1,850","1.7%","12,430","0.6%","4,717","0.9%","27,517","4.1%","29,943","1.4%","3,930","2.3%","11,002","1.4%","1,021","0.8%","15,943","1.6%","62,007","1.8%","13,839","2.8%","1,701","1.5%","75,377","5.3%","105,414","8.5%","953","0.4%","10,230","1.0%","2,329","2.5%","763","0.3%"
"        $1,000,000 or more","3,341","0.5%","737","0.7%","19,646","1.8%","3,060","0.7%","879,015","17.6%","35,260","3.5%","27,229","4.5%","2,499","1.5%","17,685","19.4%","66,085","2.3%","21,728","1.4%","27,662","16.2%","3,226","1.1%","40,460","2.0%","5,089","0.4%","1,733","0.3%","3,020","0.7%","3,902","0.6%","5,217","0.9%","2,488","1.0%","32,278","3.0%","70,962","6.4%","12,517","0.7%","11,128","1.1%","1,625","0.4%","7,507","0.8%","3,034","1.8%","1,744","0.6%","7,692","1.8%","3,044","1.3%","53,712","3.9%","2,884","1.0%","189,594","8.0%","19,457","1.2%","452","0.4%","8,523","0.4%","4,652","0.9%","13,624","2.0%","21,342","1.0%","3,237","1.9%","10,637","1.4%","749","0.6%","12,480","1.2%","54,835","1.6%","8,499","1.7%","1,471","1.3%","41,951","3.0%","81,526","6.6%","672","0.3%","7,102","0.7%","1,417","1.5%","1,173","0.4%"
"        Median (dollars)","164,200","164,200","292,600","292,600","256,600","256,600","148,300","148,300","566,100","566,100","383,400","383,400","281,300","281,300","267,000","267,000","627,000","627,000","247,000","247,000","208,800","208,800","643,100","643,100","243,800","243,800","219,400","219,400","153,800","153,800","160,700","160,700","173,800","173,800","162,800","162,800","184,900","184,900","208,300","208,300","331,600","331,600","406,900","406,900","175,400","175,400","244,800","244,800","151,200","151,200","170,800","170,800","262,400","262,400","172,500","172,500","301,100","301,100","278,600","278,600","352,700","352,700","193,300","193,300","341,900","341,900","199,600","199,600","226,000","226,000","160,800","160,800","156,000","156,000","355,800","355,800","202,000","202,000","274,200","274,200","194,100","194,100","188,800","188,800","192,600","192,600","216,700","216,700","310,000","310,000","239,000","239,000","302,700","302,700","385,000","385,000","147,100","147,100","195,900","195,900","240,100","240,100","130,600","130,600"
