"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","1,855,184","254,551","2,614,298","1,156,347","13,072,122","2,176,757","1,378,091","367,671","287,476","7,809,358","3,803,012","455,309","640,270","4,864,864","2,599,169","1,267,873","1,133,408","1,732,713","1,737,220","570,307","2,215,935","2,624,294","3,957,466","2,194,452","1,108,630","2,434,806","431,421","765,490","1,129,810","531,212","3,249,567","794,093","7,367,015","4,011,462","319,355","4,685,447","1,485,310","1,639,970","5,070,931","406,573","1,927,991","345,449","2,603,140","9,776,083","998,891","261,373","3,175,524","2,895,575","734,703","2,371,960","230,252","1,179,637"
"    Less than $10,000","169,158","11,444","157,644","94,571","670,677","105,586","73,192","22,040","26,780","511,203","268,881","24,091","35,130","309,799","159,391","69,432","64,305","145,630","162,460","35,502","107,054","141,341","270,623","97,476","117,300","153,553","27,366","38,361","74,368","22,512","160,863","76,947","503,909","259,160","18,381","330,132","105,449","87,029","323,468","27,723","146,174","19,810","186,723","632,765","39,247","15,364","166,161","134,537","66,891","118,890","12,176","317,019"
"    $10,000 to $14,999","110,519","8,384","94,826","70,128","515,804","70,926","53,662","14,567","13,332","351,037","157,261","9,842","27,612","187,148","114,524","54,690","49,887","96,738","103,020","31,599","65,054","113,278","176,624","83,144","71,010","118,186","21,951","33,679","41,667","17,139","100,237","50,055","357,629","196,205","12,933","220,602","76,081","65,916","222,113","21,024","98,335","15,170","135,643","416,618","27,620","12,536","115,412","87,576","46,072","104,567","7,762","144,175"
"    $15,000 to $19,999","110,325","8,000","116,666","67,127","456,076","72,175","46,881","12,155","7,625","377,751","170,884","14,171","28,601","196,778","125,482","55,490","52,039","93,999","107,839","29,359","63,403","95,986","178,250","75,410","71,976","118,905","18,131","34,686","44,630","20,855","114,845","42,745","310,940","194,513","13,222","223,073","75,801","68,119","236,265","18,233","98,970","13,864","143,510","413,164","27,765","10,652","114,457","94,801","49,729","93,784","11,095","122,517"
"    $20,000 to $24,999","109,568","8,322","131,479","74,669","520,133","83,876","52,633","18,515","7,998","413,800","192,147","13,740","36,436","230,715","134,723","58,727","56,065","94,964","112,377","27,172","66,516","96,255","200,691","85,693","68,810","126,566","24,157","36,439","53,460","20,039","119,681","50,641","325,741","219,228","12,498","235,211","83,436","72,004","236,328","16,063","105,352","15,293","134,076","468,286","34,046","11,410","121,666","104,171","48,260","115,125","10,441","100,602"
"    $25,000 to $29,999","91,725","8,725","116,211","65,034","458,689","74,956","49,654","17,266","7,778","381,721","178,532","14,803","26,828","199,822","121,949","56,864","55,828","92,196","94,200","25,364","62,510","87,057","183,883","82,942","62,732","118,065","22,396","35,126","47,139","20,846","105,619","44,145","277,816","202,213","13,048","223,840","72,644","72,315","231,346","15,711","98,060","17,024","132,513","429,986","37,955","10,330","117,078","98,670","43,092","108,320","10,415","75,656"
"    $30,000 to $34,999","96,535","8,058","127,277","65,082","485,094","87,127","49,303","17,000","9,161","404,479","183,149","17,909","33,413","212,845","139,083","62,828","58,414","95,711","92,737","28,161","70,470","88,043","204,608","91,403","59,787","134,751","21,901","36,755","58,742","21,696","113,081","42,909","293,279","208,949","13,015","236,388","82,739","74,113","238,866","16,487","106,616","20,878","139,633","463,483","38,845","12,942","119,690","106,507","44,204","116,722","12,385","64,454"
"    $35,000 to $39,999","87,783","9,890","127,296","61,532","458,942","84,288","45,363","13,796","7,109","378,096","157,073","14,612","32,798","191,290","123,745","57,372","50,222","86,612","83,101","30,294","74,763","80,962","187,589","91,921","52,261","116,695","19,036","36,267","51,823","17,850","106,240","37,283","263,872","205,633","13,109","215,081","74,624","73,532","215,296","15,664","89,956","16,522","132,401","423,227","37,980","12,530","115,397","111,311","40,921","110,209","10,571","56,826"
"    $40,000 to $44,999","82,019","8,058","118,412","56,945","477,566","86,907","51,532","14,614","8,411","365,568","175,543","18,829","34,868","198,978","129,561","60,604","55,902","82,543","71,996","22,854","77,450","86,603","187,862","89,222","53,030","122,846","20,672","33,679","59,290","21,780","101,910","37,196","264,265","198,629","13,518","218,978","73,946","70,618","206,570","16,304","89,166","17,793","123,990","422,627","42,904","11,122","124,891","115,731","34,440","108,686","8,790","47,885"
"    $45,000 to $49,999","71,749","8,305","107,985","57,006","425,951","82,438","41,750","13,958","6,921","339,901","154,010","14,371","30,196","174,986","112,909","53,825","48,537","73,744","66,803","26,240","67,634","77,419","162,068","84,109","49,011","110,011","19,942","34,989","50,181","16,577","94,438","33,655","245,075","168,462","15,369","196,246","66,839","66,481","199,994","11,939","84,302","17,637","105,926","393,871","43,265","9,003","117,099","104,777","32,177","100,963","10,640","40,672"
"    $50,000 to $59,999","143,962","18,403","221,756","95,318","840,945","158,913","91,721","27,049","13,113","636,955","290,492","29,884","57,852","348,760","219,818","104,449","89,838","138,742","123,309","45,310","148,530","156,649","312,973","160,285","78,607","197,449","37,350","64,936","92,355","36,323","196,703","59,049","486,211","329,455","24,677","373,260","122,187","124,516","383,925","31,954","153,639","27,562","212,194","764,659","78,883","23,187","215,019","207,383","56,557","190,119","16,797","58,875"
"    $60,000 to $74,999","178,002","30,848","278,318","110,606","1,203,718","222,283","122,197","39,991","21,919","800,117","386,250","40,807","77,036","488,167","281,837","139,857","122,077","171,351","152,877","58,087","198,444","227,769","413,704","222,344","110,274","254,528","48,702","82,701","115,225","50,014","285,234","78,823","636,270","400,895","33,698","482,444","157,398","173,116","521,111","38,585","204,249","37,876","265,872","965,677","115,948","25,316","302,261","298,579","72,132","267,222","25,209","54,787"
"    $75,000 to $99,999","222,472","34,149","342,393","122,162","1,601,641","297,089","168,673","50,462","30,730","947,939","467,779","60,450","79,485","607,741","355,463","181,944","149,661","204,609","192,211","76,941","292,683","310,924","504,604","303,312","131,216","303,086","56,953","102,838","150,362","73,167","397,522","85,598","879,308","487,763","43,633","603,015","182,783","222,273","647,732","49,257","240,687","51,063","322,410","1,197,757","153,401","38,452","406,431","390,219","72,450","328,085","31,893","44,369"
"    $100,000 to $124,999","142,340","29,872","227,627","84,215","1,297,651","229,270","134,641","35,909","26,516","646,465","340,039","53,504","55,652","465,929","223,160","118,937","102,620","134,610","131,968","49,339","243,745","265,004","341,456","231,763","67,746","203,045","35,936","74,856","103,695","57,624","326,712","58,218","673,922","326,305","35,916","419,339","116,656","154,589","470,594","44,217","151,985","32,766","212,572","883,315","117,578","26,920","308,544","306,373","55,793","229,061","23,509","22,355"
