Label (Grouping),Alabama!!Estimate,Alaska!!Estimate,Arizona!!Estimate,Arkansas!!Estimate,California!!Estimate,Colorado!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,District of Columbia!!Estimate,Florida!!Estimate,Georgia!!Estimate,Hawaii!!Estimate,Idaho!!Estimate,Illinois!!Estimate,Indiana!!Estimate,Iowa!!Estimate,Kansas!!Estimate,Kentucky!!Estimate,Louisiana!!Estimate,Maine!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,Michigan!!Estimate,Minnesota!!Estimate,Mississippi!!Estimate,Missouri!!Estimate,Montana!!Estimate,Nebraska!!Estimate,Nevada!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New Mexico!!Estimate,New York!!Estimate,North Carolina!!Estimate,North Dakota!!Estimate,Ohio!!Estimate,Oklahoma!!Estimate,Oregon!!Estimate,Pennsylvania!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,South Dakota!!Estimate,Tennessee!!Estimate,Texas!!Estimate,Utah!!Estimate,Vermont!!Estimate,Virginia!!Estimate,Washington!!Estimate,West Virginia!!Estimate,Wisconsin!!Estimate,Wyoming!!Estimate,Puerto Rico!!Estimate
Total:,"5,074,296","733,583","7,359,197","3,045,637","39,029,342","5,839,926","3,626,205","1,018,396","671,803","22,244,823","10,912,876","1,440,196","1,939,033","12,582,032","6,833,037","3,200,517","2,937,150","4,512,310","4,590,241","1,385,340","6,164,660","6,981,974","10,034,118","5,717,184","2,940,057","6,177,957","1,122,867","1,967,923","3,177,772","1,395,231","9,261,699","2,113,344","19,677,151","10,698,973","779,261","11,756,058","4,019,800","4,240,137","12,972,008","1,093,734","5,282,634","909,824","7,051,339","30,029,572","3,380,800","647,064","8,683,619","7,785,786","1,775,156","5,892,539","581,381","3,221,789"
    Male:,"2,461,248","385,667","3,678,381","1,504,488","19,536,425","2,960,896","1,776,689","494,657","319,763","10,953,468","5,323,951","725,309","976,925","6,229,035","3,392,667","1,607,659","1,473,791","2,233,158","2,248,146","684,557","3,004,117","3,419,487","4,979,089","2,869,638","1,426,689","3,046,351","567,273","988,837","1,599,922","696,786","4,564,704","1,047,785","9,628,899","5,229,792","398,845","5,810,211","2,004,195","2,121,651","6,399,830","535,841","2,569,909","462,457","3,462,618","15,021,141","1,716,117","320,698","4,299,314","3,930,411","882,101","2,958,771","297,855","1,528,789"
        Under 5 years,"146,169","23,043","201,423","90,239","1,081,904","154,565","91,513","27,456","20,038","563,703","319,188","39,937","57,072","346,301","208,556","93,069","91,425","133,686","137,840","32,126","180,371","176,109","274,862","170,198","87,030","179,986","27,709","62,276","86,951","31,969","261,922","50,507","543,601","294,058","24,545","341,053","122,758","102,977","340,925","25,568","143,703","28,863","206,317","963,076","116,718","13,651","246,632","213,623","43,466","159,162","15,051","53,485"
        5 to 9 years,"158,767","25,916","221,769","98,535","1,165,348","166,104","97,762","29,704","19,567","598,155","349,200","44,200","63,418","370,002","225,796","102,293","95,286","141,927","151,575","35,275","192,144","186,360","293,066","186,821","88,551","189,276","32,427","66,200","97,750","32,977","274,175","62,860","545,792","317,020","26,547","351,429","132,216","116,747","367,379","28,180","153,663","30,960","217,274","1,061,578","132,973","15,723","265,004","242,230","49,137","173,416","20,443","68,924"
        10 to 14 years,"164,578","26,492","238,114","103,801","1,313,295","185,183","113,665","30,008","15,307","642,573","377,740","43,739","71,966","419,850","225,828","107,002","103,881","147,226","157,935","35,967","198,281","196,397","315,861","187,800","108,061","203,713","36,913","71,522","103,397","37,387","299,362","73,691","598,202","350,728","26,838","384,408","148,077","131,153","390,736","30,777","169,654","32,176","226,099","1,105,937","142,439","17,022","278,627","240,832","52,066","190,753","19,356","86,034"
        15 to 17 years,"97,834","13,810","149,233","64,589","794,712","112,338","71,153","18,616","8,130","397,206","235,777","25,322","45,726","257,661","147,841","65,370","62,711","90,120","95,689","23,084","119,734","125,447","196,086","115,664","60,335","125,521","22,979","44,017","62,453","25,733","183,001","42,625","355,981","211,753","15,679","233,341","87,550","79,594","241,469","18,359","102,172","20,415","137,910","671,756","87,820","11,838","168,199","147,643","32,895","118,151","12,413","61,229"
        18 and 19 years,"70,450","8,971","101,519","42,479","520,164","78,156","54,600","13,233","8,771","257,910","154,723","15,574","26,818","165,524","100,451","50,351","44,314","60,881","60,973","15,461","77,311","102,216","134,428","75,809","46,651","87,335","13,677","29,972","36,204","17,466","113,410","31,789","253,973","152,720","13,284","152,190","58,779","52,347","182,881","17,730","78,625","13,026","89,949","440,629","54,370","10,097","122,941","87,181","24,698","81,143","7,913","42,337"
        20 years,"42,597","5,067","51,011","24,372","281,743","40,402","22,434","6,284","4,020","135,540","88,670","10,039","14,925","84,117","52,531","22,836","23,738","32,922","32,610","7,662","39,064","51,403","71,194","34,009","21,189","41,707","9,476","12,365","20,235","9,748","51,842","14,306","127,370","78,631","7,073","85,350","29,914","23,851","92,002","9,044","34,148","6,860","49,867","213,017","23,224","6,504","63,821","46,292","13,007","44,375","3,821","23,156"
        21 years,"34,623","4,903","57,654","21,652","276,546","43,388","21,585","6,161","4,981","132,409","76,044","11,445","14,988","77,556","54,547","24,767","21,534","34,011","34,875","7,139","36,611","51,030","72,540","36,021","23,341","38,999","8,343","14,432","22,391","10,051","55,168","14,467","133,954","77,114","5,763","81,092","34,555","27,331","88,459","9,218","39,464","6,805","43,860","220,172","30,794","4,060","65,992","51,981","13,713","38,060","4,966","22,538"
        22 to 24 years,"97,373","19,628","160,086","63,841","799,942","124,164","77,844","18,209","12,712","414,377","227,384","28,047","43,060","271,663","144,475","71,332","70,725","86,021","97,088","25,764","117,332","143,252","206,409","113,316","61,450","128,629","23,150","44,237","57,977","23,618","181,263","46,784","388,511","223,108","17,610","226,303","87,254","81,884","240,105","19,800","106,825","17,654","146,283","669,431","100,579","12,110","178,124","166,251","29,688","125,781","10,340","63,663"
        25 to 29 years,"159,971","30,938","266,176","92,694","1,420,961","232,970","114,646","30,555","30,920","681,006","365,255","48,498","62,973","422,034","220,666","103,231","99,789","150,527","139,071","39,012","191,511","240,623","335,741","186,969","83,659","202,053","37,960","63,512","111,666","45,833","293,852","69,119","673,807","348,053","30,751","387,083","134,696","146,383","412,239","37,338","159,340","30,338","235,006","1,084,997","131,378","19,379","283,753","293,952","55,461","188,178","18,737","106,264"
        30 to 34 years,"162,451","31,914","264,266","100,113","1,544,190","247,358","114,723","34,015","36,549","739,347","367,472","51,171","63,770","435,319","228,204","104,542","94,103","149,679","155,074","43,903","209,818","247,757","339,175","196,121","89,198","203,700","38,141","62,789","122,671","49,741","309,794","72,498","714,588","354,366","29,454","395,800","138,554","159,103","444,251","40,663","166,277","29,015","244,484","1,125,087","123,560","20,704","306,840","319,143","54,866","188,427","20,342","97,878"
        35 to 39 years,"150,488","29,634","240,230","93,081","1,426,147","234,646","118,604","31,389","32,098","721,256","359,658","49,523","62,901","436,926","219,799","102,506","102,284","140,580","157,787","45,149","208,844","230,588","306,374","201,668","91,010","204,299","39,502","70,537","112,119","47,405","309,949","69,250","650,743","351,125","27,243","369,596","140,260","152,539","418,082","37,936","161,376","30,924","227,697","1,095,890","114,888","19,952","302,410","308,095","53,230","192,581","21,724","91,456"
        40 to 44 years,"157,660","25,513","236,022","99,764","1,349,326","215,389","108,690","29,940","22,988","689,403","357,313","48,811","69,115","409,635","215,016","104,188","94,769","144,368","140,885","40,527","205,783","222,302","309,279","197,686","94,005","193,375","34,711","65,963","114,578","40,226","313,586","69,584","619,695","331,501","28,275","373,548","130,425","151,896","405,996","32,094","167,164","29,459","222,291","1,065,728","120,379","19,736","290,521","267,347","55,611","187,763","20,014","94,829"
        45 to 49 years,"144,058","20,688","211,255","88,414","1,215,975","182,993","104,219","25,731","18,116","656,358","329,837","42,398","55,702","379,991","199,770","91,362","83,410","136,935","123,520","40,410","179,364","199,215","279,614","163,981","84,642","173,082","32,243","55,879","97,107","38,727","286,564","57,834","565,740","317,064","20,488","333,130","113,925","134,378","364,695","30,083","146,497","26,879","209,768","936,847","103,314","17,852","257,250","237,337","54,772","168,082","15,703","93,873"
        50 to 54 years,"156,051","22,561","218,535","93,659","1,252,946","181,257","119,639","29,397","18,106","710,546","354,324","44,084","57,190","401,399","211,796","94,525","81,171","144,798","139,307","45,030","196,977","224,533","321,746","174,737","88,836","184,333","31,021","54,808","104,778","47,567","308,803","61,927","624,244","343,766","20,393","368,832","115,887","133,524","409,632","33,757","161,802","23,762","223,052","923,001","88,695","20,150","274,038","244,418","59,490","185,065","17,499","97,168"
