"Label (Grouping)","Alabama!!Owner-occupied housing units with a mortgage!!Estimate","Alabama!!Percent owner-occupied housing units with a mortgage!!Estimate","Alaska!!Owner-occupied housing units with a mortgage!!Estimate","Alaska!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Percent owner-occupied housing units with a mortgage!!Estimate","California!!Owner-occupied housing units with a mortgage!!Estimate","California!!Percent owner-occupied housing units with a mortgage!!Estimate","Colorado!!Owner-occupied housing units with a mortgage!!Estimate","Colorado!!Percent owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Percent owner-occupied housing units with a mortgage!!Estimate","Delaware!!Owner-occupied housing units with a mortgage!!Estimate","Delaware!!Percent owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Percent owner-occupied housing units with a mortgage!!Estimate","Florida!!Owner-occupied housing units with a mortgage!!Estimate","Florida!!Percent owner-occupied housing units with a mortgage!!Estimate","Georgia!!Owner-occupied housing units with a mortgage!!Estimate","Georgia!!Percent owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Percent owner-occupied housing units with a mortgage!!Estimate","Idaho!!Owner-occupied housing units with a mortgage!!Estimate","Idaho!!Percent owner-occupied housing units with a mortgage!!Estimate","Illinois!!Owner-occupied housing units with a mortgage!!Estimate","Illinois!!Percent owner-occupied housing units with a mortgage!!Estimate","Indiana!!Owner-occupied housing units with a mortgage!!Estimate","Indiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Iowa!!Owner-occupied housing units with a mortgage!!Estimate","Iowa!!Percent owner-occupied housing units with a mortgage!!Estimate","Kansas!!Owner-occupied housing units with a mortgage!!Estimate","Kansas!!Percent owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Percent owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Maine!!Owner-occupied housing units with a mortgage!!Estimate","Maine!!Percent owner-occupied housing units with a mortgage!!Estimate","Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Percent owner-occupied housing units with a mortgage!!Estimate","Michigan!!Owner-occupied housing units with a mortgage!!Estimate","Michigan!!Percent owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Percent owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Percent owner-occupied housing units with a mortgage!!Estimate","Missouri!!Owner-occupied housing units with a mortgage!!Estimate","Missouri!!Percent owner-occupied housing units with a mortgage!!Estimate","Montana!!Owner-occupied housing units with a mortgage!!Estimate","Montana!!Percent owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Percent owner-occupied housing units with a mortgage!!Estimate","Nevada!!Owner-occupied housing units with a mortgage!!Estimate","Nevada!!Percent owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Percent owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Percent owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Percent owner-occupied housing units with a mortgage!!Estimate","New York!!Owner-occupied housing units with a mortgage!!Estimate","New York!!Percent owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Ohio!!Owner-occupied housing units with a mortgage!!Estimate","Ohio!!Percent owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Percent owner-occupied housing units with a mortgage!!Estimate","Oregon!!Owner-occupied housing units with a mortgage!!Estimate","Oregon!!Percent owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Percent owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Percent owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Texas!!Owner-occupied housing units with a mortgage!!Estimate","Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Utah!!Owner-occupied housing units with a mortgage!!Estimate","Utah!!Percent owner-occupied housing units with a mortgage!!Estimate","Vermont!!Owner-occupied housing units with a mortgage!!Estimate","Vermont!!Percent owner-occupied housing units with a mortgage!!Estimate","Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Washington!!Owner-occupied housing units with a mortgage!!Estimate","Washington!!Percent owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Percent owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Percent owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Percent owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","738,993","738,993","110,531","110,531","1,205,595","1,205,595","428,178","428,178","5,098,782","5,098,782","1,077,143","1,077,143","620,947","620,947","182,907","182,907","100,122","100,122","3,270,319","3,270,319","1,684,488","1,684,488","196,857","196,857","319,104","319,104","2,065,190","2,065,190","1,224,548","1,224,548","562,854","562,854","450,043","450,043","699,673","699,673","638,189","638,189","268,067","268,067","1,142,247","1,142,247","1,183,875","1,183,875","1,749,747","1,749,747","1,070,517","1,070,517","382,770","382,770","1,037,513","1,037,513","171,044","171,044","317,750","317,750","476,072","476,072","249,835","249,835","1,448,109","1,448,109","305,211","305,211","2,468,659","2,468,659","1,732,746","1,732,746","107,271","107,271","1,992,732","1,992,732","544,779","544,779","705,869","705,869","2,141,815","2,141,815","189,190","189,190","841,677","841,677","135,365","135,365","1,097,102","1,097,102","3,824,607","3,824,607","534,310","534,310","118,730","118,730","1,531,811","1,531,811","1,290,609","1,290,609","251,010","251,010","1,027,997","1,027,997","100,761","100,761","295,511","295,511"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","32,458","4.4%","1,529","1.4%","30,874","2.6%","20,719","4.8%","74,196","1.5%","18,795","1.7%","13,231","2.1%","6,122","3.3%","1,090","1.1%","93,920","2.9%","53,726","3.2%","1,785","0.9%","8,878","2.8%","73,574","3.6%","45,610","3.7%","23,194","4.1%","19,589","4.4%","29,659","4.2%","25,049","3.9%","9,699","3.6%","27,796","2.4%","22,534","1.9%","75,922","4.3%","31,989","3.0%","21,582","5.6%","39,944","3.8%","2,796","1.6%","11,257","3.5%","11,759","2.5%","5,680","2.3%","29,231","2.0%","11,456","3.8%","63,752","2.6%","51,417","3.0%","4,061","3.8%","73,614","3.7%","26,564","4.9%","13,921","2.0%","72,772","3.4%","3,974","2.1%","31,528","3.7%","3,797","2.8%","33,364","3.0%","116,824","3.1%","13,448","2.5%","3,048","2.6%","35,757","2.3%","18,784","1.5%","12,543","5.0%","26,271","2.6%","1,976","2.0%","5,062","1.7%"
"        $50,000 to $99,999","91,599","12.4%","1,698","1.5%","21,877","1.8%","62,403","14.6%","48,175","0.9%","11,960","1.1%","10,317","1.7%","3,312","1.8%","316","0.3%","100,273","3.1%","86,741","5.1%","2,948","1.5%","6,947","2.2%","185,927","9.0%","141,780","11.6%","72,551","12.9%","61,566","13.7%","86,585","12.4%","55,849","8.8%","16,364","6.1%","20,889","1.8%","8,331","0.7%","163,042","9.3%","35,856","3.3%","63,210","16.5%","104,439","10.1%","5,955","3.5%","22,635","7.1%","2,977","0.6%","3,728","1.5%","18,794","1.3%","14,144","4.6%","146,596","5.9%","113,533","6.6%","6,828","6.4%","243,053","12.2%","67,831","12.5%","7,966","1.1%","185,775","8.7%","1,115","0.6%","66,825","7.9%","9,728","7.2%","82,659","7.5%","205,873","5.4%","4,505","0.8%","3,822","3.2%","46,280","3.0%","14,356","1.1%","43,554","17.4%","61,560","6.0%","1,910","1.9%","63,307","21.4%"
"        $100,000 to $299,999","420,224","56.9%","44,576","40.3%","374,533","31.1%","261,646","61.1%","401,973","7.9%","148,578","13.8%","266,515","42.9%","79,834","43.6%","7,263","7.3%","1,374,316","42.0%","828,936","49.2%","12,070","6.1%","81,152","25.4%","1,026,912","49.7%","744,934","60.8%","337,499","60.0%","240,400","53.4%","416,929","59.6%","381,839","59.8%","127,161","47.4%","315,188","27.6%","192,767","16.3%","991,780","56.7%","480,250","44.9%","225,739","59.0%","595,827","57.4%","59,645","34.9%","193,435","60.9%","115,267","24.2%","79,960","32.0%","381,579","26.4%","175,670","57.6%","772,304","31.3%","864,231","49.9%","60,772","56.7%","1,184,375","59.4%","332,520","61.0%","124,224","17.6%","1,103,468","51.5%","64,486","34.1%","443,983","52.7%","75,940","56.1%","544,311","49.6%","1,875,367","49.0%","90,959","17.0%","58,230","49.0%","531,805","34.7%","171,400","13.3%","150,066","59.8%","588,879","57.3%","54,434","54.0%","207,042","70.1%"
"        $300,000 to $499,999","139,210","18.8%","46,864","42.4%","481,497","39.9%","58,804","13.7%","1,093,857","21.5%","410,666","38.1%","204,085","32.9%","69,922","38.2%","23,661","23.6%","1,121,089","34.3%","463,669","27.5%","33,169","16.8%","131,783","41.3%","522,616","25.3%","223,529","18.3%","99,887","17.7%","90,025","20.0%","123,759","17.7%","124,893","19.6%","79,478","29.6%","449,421","39.3%","392,560","33.2%","375,739","21.5%","365,540","34.1%","56,344","14.7%","216,021","20.8%","59,435","34.7%","68,791","21.6%","228,262","47.9%","107,368","43.0%","531,135","36.7%","71,164","23.3%","533,483","21.6%","464,028","26.8%","27,889","26.0%","368,373","18.5%","87,774","16.1%","300,723","42.6%","535,027","25.0%","78,949","41.7%","197,546","23.5%","32,974","24.4%","279,389","25.5%","1,052,316","27.5%","237,529","44.5%","37,374","31.5%","458,310","29.9%","432,731","33.5%","34,716","13.8%","264,685","25.7%","30,237","30.0%","13,744","4.7%"
"        $500,000 to $749,999","38,694","5.2%","12,473","11.3%","198,970","16.5%","16,168","3.8%","1,387,827","27.2%","311,123","28.9%","71,842","11.6%","17,236","9.4%","26,666","26.6%","370,705","11.3%","167,804","10.0%","52,719","26.8%","60,261","18.9%","159,177","7.7%","48,479","4.0%","21,272","3.8%","26,867","6.0%","29,014","4.1%","34,093","5.3%","23,528","8.8%","219,329","19.2%","327,644","27.7%","97,311","5.6%","112,585","10.5%","10,583","2.8%","51,473","5.0%","25,166","14.7%","15,548","4.9%","77,965","16.4%","39,731","15.9%","307,424","21.2%","21,074","6.9%","504,311","20.4%","161,953","9.3%","5,807","5.4%","85,699","4.3%","20,343","3.7%","179,845","25.5%","171,082","8.0%","29,156","15.4%","64,876","7.7%","8,331","6.2%","98,759","9.0%","368,911","9.6%","124,882","23.4%","10,825","9.1%","268,938","17.6%","343,672","26.6%","5,990","2.4%","62,904","6.1%","7,439","7.4%","4,291","1.5%"
"        $750,000 to $999,999","11,182","1.5%","2,450","2.2%","57,742","4.8%","4,718","1.1%","883,320","17.3%","100,369","9.3%","23,916","3.9%","4,083","2.2%","18,272","18.2%","109,299","3.3%","48,027","2.9%","49,569","25.2%","19,393","6.1%","54,931","2.7%","11,529","0.9%","5,556","1.0%","8,035","1.8%","8,559","1.2%","8,458","1.3%","6,664","2.5%","61,693","5.4%","137,706","11.6%","25,792","1.5%","26,786","2.5%","3,401","0.9%","16,817","1.6%","10,151","5.9%","3,669","1.2%","21,202","4.5%","8,641","3.5%","112,870","7.8%","7,437","2.4%","229,503","9.3%","46,265","2.7%","1,620","1.5%","21,060","1.1%","5,113","0.9%","52,211","7.4%","44,970","2.1%","5,629","3.0%","20,267","2.4%","2,192","1.6%","33,039","3.0%","112,750","2.9%","39,609","7.4%","3,484","2.9%","119,164","7.8%","164,061","12.7%","2,565","1.0%","13,930","1.4%","1,500","1.5%","829","0.3%"
"        $1,000,000 or more","5,626","0.8%","941","0.9%","40,102","3.3%","3,720","0.9%","1,209,434","23.7%","75,652","7.0%","31,041","5.0%","2,398","1.3%","22,854","22.8%","100,717","3.1%","35,585","2.1%","44,597","22.7%","10,690","3.4%","42,053","2.0%","8,687","0.7%","2,895","0.5%","3,561","0.8%","5,168","0.7%","8,008","1.3%","5,173","1.9%","47,931","4.2%","102,333","8.6%","20,161","1.2%","17,511","1.6%","1,911","0.5%","12,992","1.3%","7,896","4.6%","2,415","0.8%","18,640","3.9%","4,727","1.9%","67,076","4.6%","4,266","1.4%","218,710","8.9%","31,319","1.8%","294","0.3%","16,558","0.8%","4,634","0.9%","26,979","3.8%","28,721","1.3%","5,881","3.1%","16,652","2.0%","2,403","1.8%","25,581","2.3%","92,566","2.4%","23,378","4.4%","1,947","1.6%","71,557","4.7%","145,605","11.3%","1,576","0.6%","9,768","1.0%","3,265","3.2%","1,236","0.4%"
"        Median (dollars)","198,700","198,700","323,100","323,100","360,300","360,300","175,400","175,400","667,700","667,700","476,100","476,100","315,800","315,800","305,100","305,100","666,200","666,200","309,400","309,400","271,000","271,000","729,800","729,800","387,200","387,200","247,500","247,500","194,600","194,600","187,600","187,600","207,800","207,800","193,800","193,800","216,300","216,300","268,600","268,600","379,600","379,600","487,600","487,600","219,300","219,300","295,700","295,700","177,700","177,700","214,400","214,400","349,300","349,300","220,900","220,900","380,300","380,300","353,700","353,700","400,400","400,400","240,700","240,700","392,900","392,900","261,300","261,300","243,400","243,400","194,800","194,800","186,100","186,100","436,200","436,200","242,400","242,400","350,000","350,000","239,500","239,500","240,900","240,900","257,700","257,700","270,600","270,600","427,700","427,700","281,100","281,100","357,400","357,400","505,800","505,800","170,900","170,900","239,500","239,500","274,200","274,200","130,900","130,900"
