"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,822,023","731,449","6,553,255","2,949,131","38,041,430","5,187,582","3,590,347","917,092","632,323","19,317,568","9,919,945","1,392,313","1,595,728","12,875,255","6,537,334","3,074,186","2,885,905","4,380,415","4,601,893","1,329,192","5,884,563","6,646,144","9,883,360","5,379,139","2,984,926","6,021,988","1,005,141","1,855,525","2,758,931","1,320,718","8,864,590","2,085,538","19,570,261","9,752,073","699,628","11,544,225","3,814,820","3,899,353","12,763,536","1,050,292","4,723,723","833,354","6,456,243","26,059,203","2,855,287","626,011","8,185,867","6,897,012","1,855,413","5,726,398","576,412","3,667,084"
"    Male:","2,336,291","381,094","3,260,687","1,449,265","18,917,773","2,601,370","1,749,806","444,691","299,036","9,441,001","4,851,053","701,196","798,712","6,316,653","3,217,145","1,524,107","1,434,617","2,154,939","2,248,888","650,714","2,849,291","3,219,753","4,851,429","2,670,741","1,442,072","2,953,591","503,458","923,099","1,391,864","648,288","4,321,436","1,034,877","9,485,872","4,751,047","357,591","5,642,634","1,889,807","1,932,789","6,229,333","506,835","2,295,781","417,803","3,144,756","12,945,218","1,435,028","309,184","4,015,045","3,441,429","911,681","2,842,737","292,736","1,757,273"
"        Under 5 years","154,902","27,593","223,705","99,007","1,296,287","172,562","99,546","28,446","19,889","545,488","341,922","45,753","58,069","415,426","216,539","99,826","102,507","140,587","154,816","34,042","185,624","186,715","292,588","176,324","100,474","192,469","29,985","68,703","94,224","32,945","267,962","73,089","596,179","311,223","23,702","353,140","133,075","119,963","367,124","28,818","151,895","29,644","203,801","985,806","132,481","16,283","256,456","226,381","53,538","179,576","19,401","108,250"
"        5 to 9 years","158,765","27,033","236,024","105,750","1,296,812","187,549","111,455","28,624","15,317","568,554","366,006","44,156","61,468","426,863","223,661","99,995","103,556","144,129","160,431","40,740","194,000","193,392","316,554","186,104","106,248","204,609","35,246","68,716","97,127","37,519","281,431","77,581","582,719","330,377","23,669","380,787","136,772","127,907","381,299","29,140","159,363","28,574","213,254","1,000,422","128,285","16,964","268,185","222,732","52,269","186,241","18,842","122,716"
"        10 to 14 years","163,731","26,425","230,633","103,149","1,306,123","168,057","119,297","29,963","11,832","569,454","359,456","41,115","64,211","448,301","234,675","108,733","101,425","149,225","161,763","37,014","186,127","206,391","338,507","179,835","108,945","202,876","28,376","62,621","93,590","41,695","301,316","70,566","613,516","331,930","19,240","386,170","133,566","120,893","399,086","32,446","151,203","29,466","215,096","1,005,935","126,174","19,223","263,164","229,458","56,163","192,451","21,383","123,441"
"        15 to 17 years","97,673","15,899","138,579","59,618","825,862","100,405","75,376","17,597","7,946","356,110","208,737","24,306","33,691","273,180","139,823","62,094","59,694","88,324","92,842","25,351","118,250","129,057","214,197","110,629","63,699","122,621","19,195","38,266","57,020","26,933","183,583","43,534","385,382","192,756","13,072","241,052","76,295","75,432","253,402","20,480","89,503","16,627","130,443","575,339","68,160","11,685","157,048","134,936","33,200","117,112","10,748","83,047"
"        18 and 19 years","73,658","12,008","93,580","41,556","569,900","77,113","55,962","13,530","10,100","254,907","157,606","18,467","23,423","187,064","96,725","44,030","46,720","61,115","67,600","19,070","85,171","106,346","147,065","73,611","52,996","88,830","14,289","26,355","35,190","18,972","116,887","32,445","283,380","147,214","13,589","167,583","56,874","53,519","189,524","17,792","75,822","12,880","88,477","391,694","44,467","10,877","125,452","94,694","24,894","84,078","8,188","59,087"
"        20 years","36,883","5,837","52,451","22,402","316,738","38,793","24,703","8,158","5,739","143,952","78,537","11,399","10,959","94,547","50,538","28,083","25,481","35,495","38,399","7,655","42,379","53,376","81,784","33,252","27,281","48,707","8,215","13,553","19,342","9,164","60,316","15,413","154,873","75,428","7,509","85,500","29,758","29,184","97,943","10,281","42,810","6,485","51,395","217,442","20,720","6,229","64,960","50,186","15,781","42,976","4,961","30,186"
"        21 years","40,183","7,258","51,576","23,326","318,160","39,785","25,448","7,982","5,384","147,989","73,966","12,448","12,547","96,959","53,804","25,411","23,662","37,160","36,266","8,760","44,797","51,891","75,683","38,671","24,208","43,632","7,715","12,557","20,787","9,933","62,216","13,844","146,535","75,942","6,391","84,243","32,224","27,033","99,942","8,981","40,694","6,821","44,555","213,456","23,336","4,767","67,540","51,409","14,262","38,583","3,749","28,553"
"        22 to 24 years","96,152","19,766","142,091","59,553","878,262","109,601","69,139","17,374","17,154","380,164","213,701","33,162","33,157","261,639","139,268","63,723","61,728","84,834","97,492","23,150","120,311","132,179","201,102","108,094","58,932","120,218","20,574","42,402","54,902","24,428","169,531","45,703","428,224","202,153","19,924","226,413","82,526","77,253","254,408","23,243","93,510","17,634","129,822","568,091","75,973","12,597","166,614","149,146","33,618","115,917","13,808","77,792"
"        25 to 29 years","148,583","29,302","228,596","94,436","1,442,237","196,863","110,732","29,294","34,059","614,564","334,209","55,834","54,757","451,382","205,266","99,553","100,887","137,429","163,595","36,475","201,600","229,530","296,755","186,416","87,502","199,512","32,185","63,866","101,062","39,209","282,826","74,687","706,373","313,340","26,975","359,085","133,944","131,400","408,188","33,796","149,403","28,485","211,551","961,511","110,949","18,256","291,796","251,654","53,212","185,671","21,833","108,161"
"        30 to 34 years","145,284","26,971","222,080","94,135","1,370,890","197,272","105,644","27,464","30,707","583,912","334,138","50,089","53,371","443,210","211,453","98,615","95,556","144,037","157,481","36,693","193,287","209,625","290,251","187,559","93,934","194,863","31,319","63,250","100,610","35,689","283,124","66,203","658,272","309,178","25,052","353,959","130,021","139,051","385,009","30,239","143,687","29,012","206,272","939,879","115,308","16,928","281,999","242,790","56,970","188,327","20,646","113,251"
"        35 to 39 years","141,085","23,170","204,262","91,091","1,283,750","180,634","103,123","24,639","21,816","572,861","319,383","44,464","53,108","412,239","192,679","87,558","85,110","137,632","139,730","34,823","172,557","192,609","279,365","163,125","88,831","175,178","28,437","59,057","91,954","37,913","273,956","62,823","601,251","310,066","20,697","330,244","116,912","124,134","352,228","30,499","139,177","24,338","206,030","885,805","97,458","17,200","260,976","225,046","55,354","168,699","16,410","114,797"
"        40 to 44 years","160,895","26,692","215,022","91,823","1,315,810","183,123","119,603","28,979","21,225","626,045","356,443","44,239","46,715","433,715","216,830","94,522","90,202","147,246","139,864","44,510","202,039","225,845","328,985","176,845","95,802","188,237","30,029","53,863","101,983","46,171","315,942","62,170","644,524","343,646","20,331","380,101","120,010","131,923","419,566","33,096","157,197","23,934","216,294","891,743","85,213","19,279","284,444","240,362","60,274","184,088","19,178","113,428"
"        45 to 49 years","158,657","25,950","203,990","94,611","1,303,995","175,323","136,887","31,662","19,092","671,206","349,133","44,985","48,383","441,475","222,137","100,080","93,564","151,626","148,623","48,240","212,304","242,773","346,069","189,697","91,899","200,818","31,146","59,250","97,885","52,325","332,201","63,569","684,615","334,528","21,749","392,166","119,086","123,943","443,132","36,787","155,357","26,007","216,468","854,821","76,851","22,091","292,324","235,085","62,903","205,162","17,927","113,761"
"        50 to 54 years","167,200","28,235","209,605","100,500","1,297,026","185,606","140,454","33,354","18,773","673,471","330,683","47,933","50,973","457,416","235,947","112,612","100,079","157,865","161,750","54,831","216,893","246,569","371,912","202,068","97,821","220,573","38,478","65,354","94,510","56,007","335,118","71,569","694,709","328,393","25,980","428,641","130,012","132,527","479,856","39,564","157,454","29,661","221,696","850,972","77,175","25,527","292,612","247,312","67,429","220,084","20,963","108,650"
"        55 to 59 years","156,068","27,093","186,535","91,813","1,134,000","170,039","123,944","28,800","17,297","612,794","294,973","45,315","47,411","405,948","213,130","103,163","94,684","146,556","144,227","53,243","185,725","217,737","344,523","184,407","93,180","196,408","39,063","61,046","86,225","50,103","284,374","63,797","616,823","301,765","23,350","397,108","121,844","134,831","456,109","36,174","148,914","29,835","205,140","733,883","72,925","25,725","253,022","225,566","64,884","200,182","22,137","97,901"
"        60 and 61 years","56,590","10,458","72,980","35,403","399,843","60,829","41,747","9,861","5,931","228,844","97,197","20,638","19,923","145,238","79,771","40,402","32,900","50,192","53,518","18,189","70,431","80,087","127,417","65,361","31,902","72,356","15,513","23,569","30,395","17,325","106,716","27,857","228,256","107,942","9,327","146,038","40,263","52,681","160,033","12,496","53,590","11,036","77,633","262,610","22,271","8,281","96,467","85,335","29,776","71,157","7,862","38,759"
"        62 to 64 years","79,963","11,647","104,750","47,169","543,621","83,965","60,282","16,610","7,730","320,981","145,372","23,536","28,432","199,455","100,976","52,486","44,444","76,001","73,656","26,787","91,792","108,722","169,473","86,177","47,237","96,554","19,108","28,038","45,418","25,125","137,442","36,393","304,571","155,679","12,636","198,024","60,461","69,803","215,274","16,762","83,365","13,268","107,018","355,620","32,998","12,919","130,458","119,178","38,965","99,898","9,573","62,623"
"        65 and 66 years","50,030","6,585","69,244","32,358","313,722","47,846","34,460","8,478","4,285","213,860","87,537","14,156","15,698","113,265","59,668","32,178","26,178","46,113","45,810","17,234","51,382","63,611","102,460","47,234","28,898","57,587","11,460","18,177","28,059","14,524","84,433","22,109","176,470","94,279","5,276","116,495","35,121","41,918","131,345","11,131","51,483","8,400","66,027","211,718","17,109","7,645","76,144","67,460","20,662","54,244","5,781","35,782"
"        67 to 69 years","59,482","5,086","78,041","34,728","376,847","56,958","43,584","12,255","5,198","279,994","100,150","19,240","20,367","137,086","70,294","33,234","32,573","52,764","47,806","18,927","66,208","77,082","122,151","61,438","33,492","74,713","14,677","21,126","34,038","17,485","96,440","25,512","211,274","120,416","7,985","137,661","44,394","51,660","156,385","11,622","60,462","8,001","83,549","253,657","25,440","8,523","95,980","84,923","26,039","65,055","7,044","47,832"
"        70 to 74 years","75,961","8,692","116,759","51,736","488,268","66,225","52,403","17,235","8,155","392,284","128,549","20,533","24,183","177,956","100,707","48,461","39,955","67,018","65,272","24,124","79,506","95,634","150,475","78,158","44,618","96,691","19,129","24,187","46,161","21,054","126,777","32,330","282,658","147,647","11,258","178,368","63,037","64,310","204,338","15,098","82,269","13,685","101,909","306,033","30,950","11,104","116,469","100,069","38,083","90,667","8,679","68,681"
"        75 to 79 years","54,229","4,633","81,120","35,832","344,502","47,983","37,565","11,465","5,277","286,483","83,499","15,190","18,248","123,251","65,410","37,813","28,490","46,253","44,163","17,034","51,174","67,390","107,577","56,440","30,930","69,353","12,923","20,124","28,642","14,779","89,733","23,790","204,771","100,594","7,689","128,956","43,397","43,716","151,853","10,918","53,041","9,016","69,677","218,850","22,280","7,339","80,731","68,713","24,786","63,625","5,613","47,027"
"        80 to 84 years","35,269","2,896","55,764","23,109","265,634","29,865","30,458","7,299","3,466","215,044","54,436","10,392","10,229","93,335","47,779","27,673","23,982","31,435","29,486","13,896","41,564","55,027","79,465","41,780","18,885","47,268","9,148","15,628","20,885","10,021","70,948","15,906","148,981","68,425","6,351","92,462","27,546","30,964","120,362","8,946","33,114","8,332","46,699","148,497","16,099","4,992","51,298","46,115","17,466","47,519","4,653","26,109"
"        85 years and over","25,048","1,865","43,300","16,160","229,484","24,974","27,994","5,622","2,664","182,040","35,420","13,846","9,389","77,703","40,065","23,862","21,240","21,903","24,298","9,926","36,170","48,165","67,071","37,516","14,358","39,518","7,248","13,391","11,855","8,969","58,164","13,987","131,516","48,126","5,839","78,438","22,669","28,744","102,927","8,526","22,468","6,662","31,950","111,434","12,406","4,750","40,906","42,879","11,153","41,425","3,357","27,439"
"    Female:","2,485,732","350,355","3,292,568","1,499,866","19,123,657","2,586,212","1,840,541","472,401","333,287","9,876,567","5,068,892","691,117","797,016","6,558,602","3,320,189","1,550,079","1,451,288","2,225,476","2,353,005","678,478","3,035,272","3,426,391","5,031,931","2,708,398","1,542,854","3,068,397","501,683","932,426","1,367,067","672,430","4,543,154","1,050,661","10,084,389","5,001,026","342,037","5,901,591","1,925,013","1,966,564","6,534,203","543,457","2,427,942","415,551","3,311,487","13,113,985","1,420,259","316,827","4,170,822","3,455,583","943,732","2,883,661","283,676","1,909,811"
"        Under 5 years","146,906","26,341","214,067","92,649","1,240,523","164,433","93,524","27,739","19,113","524,857","329,183","43,260","55,667","398,601","207,618","96,171","98,911","136,086","154,464","32,148","179,001","177,144","279,057","171,257","101,922","182,122","28,854","63,298","88,688","32,561","258,625","69,947","568,143","300,529","21,418","336,915","129,086","112,150","351,192","27,329","142,642","29,039","196,222","947,042","125,448","14,728","250,615","214,592","51,725","171,659","18,615","101,104"
"        5 to 9 years","154,067","25,172","218,351","99,763","1,239,678","172,087","104,747","28,419","15,075","542,691","336,751","39,318","57,088","415,397","216,691","101,968","98,998","136,575","147,331","36,152","181,963","185,533","301,964","179,507","103,948","189,668","30,926","63,698","89,296","36,495","274,535","71,707","561,203","320,927","21,307","354,226","128,550","114,963","367,523","26,973","147,773","30,190","204,091","962,135","124,265","15,940","248,048","206,463","53,452","184,000","19,774","109,395"
"        10 to 14 years","157,592","24,487","227,456","94,845","1,245,997","170,502","116,104","27,153","12,042","549,967","356,511","41,092","59,704","426,021","219,227","95,174","99,236","142,892","159,556","37,274","184,106","198,829","323,772","170,683","103,410","193,605","30,067","63,203","91,439","41,473","283,868","68,434","585,532","316,712","20,455","381,159","127,171","118,242","377,532","32,817","152,795","24,426","207,377","955,210","117,765","17,662","256,832","220,655","52,654","178,137","17,143","123,632"
