"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","1,845,169","251,651","2,392,168","1,143,859","12,552,658","1,996,088","1,357,812","340,308","266,662","7,197,943","3,532,908","447,748","583,106","4,770,194","2,480,077","1,227,048","1,113,911","1,707,004","1,719,473","554,543","2,157,717","2,522,394","3,819,068","2,111,943","1,090,521","2,359,135","408,938","733,570","1,006,605","519,137","3,198,799","764,996","7,238,922","3,731,325","290,944","4,554,672","1,446,667","1,516,957","4,958,249","413,083","1,787,340","323,765","2,480,090","8,970,959","895,691","258,520","3,038,967","2,636,817","741,544","2,288,362","223,513","1,263,694"
"    Owner occupied:","1,268,565","159,427","1,496,650","757,722","6,781,817","1,278,158","908,452","241,050","110,681","4,724,428","2,248,702","254,770","398,671","3,177,104","1,720,780","882,584","739,191","1,144,309","1,130,134","396,014","1,433,937","1,570,055","2,713,964","1,508,810","743,611","1,591,686","274,196","486,642","552,324","367,863","2,081,481","518,106","3,883,893","2,441,626","189,193","3,019,382","960,369","933,775","3,416,499","247,790","1,217,692","217,200","1,654,001","5,586,856","623,589","183,563","2,010,442","1,643,637","533,758","1,539,778","154,329","877,877"
"        1-person household","315,959","35,155","353,474","188,237","1,369,504","295,025","198,521","55,794","43,960","1,252,738","502,318","50,876","83,646","735,348","391,107","204,241","165,680","264,400","276,982","92,256","324,256","340,859","662,509","330,143","183,932","378,635","67,093","108,078","131,562","74,380","431,055","129,829","893,647","578,815","44,363","734,464","229,490","211,081","786,015","54,554","294,954","50,394","394,690","1,092,342","102,989","41,916","447,703","367,968","136,636","336,892","36,409","200,184"
"        2-person household","497,188","59,767","622,237","304,204","2,307,598","503,387","329,763","92,514","36,398","1,942,703","821,880","88,085","163,777","1,116,616","663,577","366,448","286,085","455,804","414,333","174,315","499,989","558,380","1,031,254","599,064","274,796","632,640","122,260","196,851","217,926","152,468","681,116","202,260","1,317,968","961,996","77,271","1,177,841","381,297","393,594","1,306,023","93,891","487,657","93,494","650,942","1,946,927","198,166","79,181","757,817","642,109","215,237","634,203","67,966","300,194"
"        3-person household","207,595","26,773","195,223","117,840","1,118,330","192,776","150,472","38,224","13,351","665,825","376,157","41,931","54,959","506,045","273,074","124,103","111,281","189,516","198,236","57,650","248,565","262,005","406,688","218,709","128,112","240,003","34,320","66,641","84,682","59,746","375,345","75,353","635,655","391,435","26,927","459,804","148,096","138,010","568,853","41,884","197,047","28,296","269,781","930,861","92,559","25,716","339,391","250,130","83,534","230,169","20,448","175,429"
"        4-person household","160,536","19,662","173,756","89,661","1,065,846","175,594","145,983","31,950","10,046","529,123","331,489","35,439","49,304","471,858","231,029","111,180","100,116","148,371","146,279","46,215","218,698","256,090","365,277","216,689","90,841","208,144","29,333","67,167","63,808","52,632","357,612","61,834","604,486","321,954","25,765","390,541","119,533","114,562","471,852","37,067","148,126","26,405","209,991","873,390","97,110","24,360","283,243","232,979","65,239","209,697","15,708","129,564"
"        5-person household","57,862","9,872","84,401","36,978","519,710","70,308","59,926","14,524","4,121","215,418","138,123","18,076","27,170","223,179","101,113","51,576","48,339","59,526","63,470","16,337","93,151","102,136","161,918","95,863","41,397","85,660","12,885","31,084","31,324","19,860","156,514","29,723","268,610","121,451","9,954","167,573","52,079","47,044","186,243","14,408","61,808","11,648","83,153","444,863","65,512","8,623","119,202","90,145","21,907","86,935","7,981","50,588"
"        6-person household","18,943","3,280","38,980","12,806","219,617","26,708","15,882","5,249","1,444","75,040","51,178","9,334","10,753","76,478","36,559","17,757","17,663","16,742","19,401","6,274","31,883","34,040","55,086","31,928","15,569","28,531","4,808","10,813","14,762","5,498","50,423","12,210","94,588","44,248","3,109","59,081","18,689","17,177","62,125","3,535","18,087","4,454","29,302","181,241","39,567","2,788","39,844","39,408","7,627","25,429","3,831","14,291"
"        7-or-more person household","10,482","4,918","28,579","7,996","181,212","14,360","7,905","2,795","1,361","43,581","27,557","11,029","9,062","47,580","24,321","7,279","10,027","9,950","11,433","2,967","17,395","16,545","31,232","16,414","8,964","18,073","3,497","6,008","8,260","3,279","29,416","6,897","68,939","21,727","1,804","30,078","11,185","12,307","35,388","2,451","10,013","2,509","16,142","117,232","27,686","979","23,242","20,898","3,578","16,453","1,986","7,627"
"    Renter occupied:","576,604","92,224","895,518","386,137","5,770,841","717,930","449,360","99,258","155,981","2,473,515","1,284,206","192,978","184,435","1,593,090","759,297","344,464","374,720","562,695","589,339","158,529","723,780","952,339","1,105,104","603,133","346,910","767,449","134,742","246,928","454,281","151,274","1,117,318","246,890","3,355,029","1,289,699","101,751","1,535,290","486,298","583,182","1,541,750","165,293","569,648","106,565","826,089","3,384,103","272,102","74,957","1,028,525","993,180","207,786","748,584","69,184","385,817"
