"Label (Grouping)","Alabama!!Owner-occupied housing units with a mortgage!!Estimate","Alabama!!Percent owner-occupied housing units with a mortgage!!Estimate","Alaska!!Owner-occupied housing units with a mortgage!!Estimate","Alaska!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Percent owner-occupied housing units with a mortgage!!Estimate","California!!Owner-occupied housing units with a mortgage!!Estimate","California!!Percent owner-occupied housing units with a mortgage!!Estimate","Colorado!!Owner-occupied housing units with a mortgage!!Estimate","Colorado!!Percent owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Percent owner-occupied housing units with a mortgage!!Estimate","Delaware!!Owner-occupied housing units with a mortgage!!Estimate","Delaware!!Percent owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Percent owner-occupied housing units with a mortgage!!Estimate","Florida!!Owner-occupied housing units with a mortgage!!Estimate","Florida!!Percent owner-occupied housing units with a mortgage!!Estimate","Georgia!!Owner-occupied housing units with a mortgage!!Estimate","Georgia!!Percent owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Percent owner-occupied housing units with a mortgage!!Estimate","Idaho!!Owner-occupied housing units with a mortgage!!Estimate","Idaho!!Percent owner-occupied housing units with a mortgage!!Estimate","Illinois!!Owner-occupied housing units with a mortgage!!Estimate","Illinois!!Percent owner-occupied housing units with a mortgage!!Estimate","Indiana!!Owner-occupied housing units with a mortgage!!Estimate","Indiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Iowa!!Owner-occupied housing units with a mortgage!!Estimate","Iowa!!Percent owner-occupied housing units with a mortgage!!Estimate","Kansas!!Owner-occupied housing units with a mortgage!!Estimate","Kansas!!Percent owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Percent owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Maine!!Owner-occupied housing units with a mortgage!!Estimate","Maine!!Percent owner-occupied housing units with a mortgage!!Estimate","Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Percent owner-occupied housing units with a mortgage!!Estimate","Michigan!!Owner-occupied housing units with a mortgage!!Estimate","Michigan!!Percent owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Percent owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Percent owner-occupied housing units with a mortgage!!Estimate","Missouri!!Owner-occupied housing units with a mortgage!!Estimate","Missouri!!Percent owner-occupied housing units with a mortgage!!Estimate","Montana!!Owner-occupied housing units with a mortgage!!Estimate","Montana!!Percent owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Percent owner-occupied housing units with a mortgage!!Estimate","Nevada!!Owner-occupied housing units with a mortgage!!Estimate","Nevada!!Percent owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Percent owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Percent owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Percent owner-occupied housing units with a mortgage!!Estimate","New York!!Owner-occupied housing units with a mortgage!!Estimate","New York!!Percent owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Ohio!!Owner-occupied housing units with a mortgage!!Estimate","Ohio!!Percent owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Percent owner-occupied housing units with a mortgage!!Estimate","Oregon!!Owner-occupied housing units with a mortgage!!Estimate","Oregon!!Percent owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Percent owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Percent owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Texas!!Owner-occupied housing units with a mortgage!!Estimate","Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Utah!!Owner-occupied housing units with a mortgage!!Estimate","Utah!!Percent owner-occupied housing units with a mortgage!!Estimate","Vermont!!Owner-occupied housing units with a mortgage!!Estimate","Vermont!!Percent owner-occupied housing units with a mortgage!!Estimate","Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Washington!!Owner-occupied housing units with a mortgage!!Estimate","Washington!!Percent owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Percent owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Percent owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Percent owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","706,185","706,185","102,297","102,297","1,064,351","1,064,351","416,168","416,168","5,026,144","5,026,144","994,409","994,409","611,242","611,242","164,071","164,071","90,270","90,270","2,850,011","2,850,011","1,529,558","1,529,558","172,214","172,214","280,297","280,297","2,007,439","2,007,439","1,156,805","1,156,805","554,182","554,182","438,620","438,620","667,936","667,936","596,545","596,545","243,301","243,301","1,073,033","1,073,033","1,135,557","1,135,557","1,688,608","1,688,608","1,038,893","1,038,893","367,369","367,369","988,869","988,869","167,138","167,138","304,828","304,828","427,386","427,386","242,670","242,670","1,375,400","1,375,400","279,646","279,646","2,394,424","2,394,424","1,631,800","1,631,800","109,310","109,310","1,927,336","1,927,336","526,995","526,995","672,491","672,491","2,063,564","2,063,564","172,375","172,375","754,533","754,533","129,049","129,049","997,085","997,085","3,439,280","3,439,280","484,330","484,330","110,296","110,296","1,431,413","1,431,413","1,227,493","1,227,493","238,355","238,355","1,003,815","1,003,815","92,857","92,857","312,180","312,180"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $50,000","45,154","6.4%","2,324","2.3%","25,820","2.4%","29,303","7.0%","48,868","1.0%","14,253","1.4%","7,102","1.2%","3,254","2.0%","1,358","1.5%","85,497","3.0%","59,335","3.9%","867","0.5%","5,943","2.1%","70,274","3.5%","53,907","4.7%","26,956","4.9%","25,079","5.7%","39,667","5.9%","30,229","5.1%","8,567","3.5%","18,839","1.8%","10,234","0.9%","103,646","6.1%","24,439","2.4%","31,424","8.6%","46,983","4.8%","4,903","2.9%","11,124","3.6%","6,598","1.5%","3,885","1.6%","16,722","1.2%","11,005","3.9%","53,976","2.3%","49,275","3.0%","4,873","4.5%","87,183","4.5%","32,506","6.2%","10,467","1.6%","71,860","3.5%","2,290","1.3%","35,970","4.8%","5,949","4.6%","40,304","4.0%","125,099","3.6%","7,120","1.5%","1,910","1.7%","23,601","1.6%","17,877","1.5%","15,731","6.6%","24,460","2.4%","3,171","3.4%","5,314","1.7%"
"    $50,000 to $99,999","134,584","19.1%","1,966","1.9%","58,155","5.5%","92,956","22.3%","55,518","1.1%","20,445","2.1%","16,388","2.7%","3,448","2.1%","505","0.6%","230,743","8.1%","177,595","11.6%","748","0.4%","17,401","6.2%","257,803","12.8%","251,649","21.8%","108,643","19.6%","84,493","19.3%","116,039","17.4%","75,408","12.6%","23,437","9.6%","33,657","3.1%","10,074","0.9%","279,498","16.6%","65,268","6.3%","86,009","23.4%","165,937","16.8%","9,297","5.6%","46,385","15.2%","13,853","3.2%","7,460","3.1%","30,151","2.2%","25,343","9.1%","209,979","8.8%","204,520","12.5%","9,940","9.1%","397,797","20.6%","105,781","20.1%","12,674","1.9%","253,040","12.3%","2,674","1.6%","102,983","13.6%","16,476","12.8%","149,259","15.0%","416,233","12.1%","7,964","1.6%","6,417","5.8%","65,228","4.6%","24,276","2.0%","53,273","22.4%","120,486","12.0%","3,752","4.0%","74,970","24.0%"
"    $100,000 to $299,999","413,329","58.5%","51,086","49.9%","618,612","58.1%","246,125","59.1%","834,760","16.6%","327,140","32.9%","316,912","51.8%","96,626","58.9%","10,058","11.1%","1,605,911","56.3%","899,267","58.8%","18,227","10.6%","181,921","64.9%","1,088,733","54.2%","695,356","60.1%","331,603","59.8%","251,340","57.3%","414,812","62.1%","379,871","63.7%","155,384","63.9%","430,420","40.1%","334,478","29.5%","993,705","58.8%","628,497","60.5%","208,342","56.7%","601,467","60.8%","95,524","57.2%","197,716","64.9%","240,511","56.3%","137,183","56.5%","520,612","37.9%","182,146","65.1%","833,208","34.8%","970,894","59.5%","64,549","59.1%","1,163,097","60.3%","318,348","60.4%","262,745","39.1%","1,202,092","58.3%","100,592","58.4%","442,247","58.6%","83,494","64.7%","587,481","58.9%","1,984,947","57.7%","258,233","53.3%","67,184","60.9%","635,952","44.4%","447,400","36.4%","139,070","58.3%","652,508","65.0%","59,550","64.1%","215,060","68.9%"
"    $300,000 to $499,999","81,925","11.6%","37,285","36.4%","253,759","23.8%","36,118","8.7%","1,430,771","28.5%","399,935","40.2%","165,248","27.0%","46,527","28.4%","23,000","25.5%","637,495","22.4%","261,768","17.1%","37,900","22.0%","59,278","21.1%","396,784","19.8%","117,779","10.2%","69,138","12.5%","58,500","13.3%","71,167","10.7%","79,048","13.3%","41,897","17.2%","370,387","34.5%","416,900","36.7%","234,282","13.9%","236,021","22.7%","32,374","8.8%","130,085","13.2%","41,558","24.9%","38,331","12.6%","122,406","28.6%","72,716","30.0%","473,086","34.4%","43,100","15.4%","596,475","24.9%","278,898","17.1%","23,823","21.8%","210,657","10.9%","52,107","9.9%","252,858","37.6%","380,714","18.4%","49,202","28.5%","116,492","15.4%","17,713","13.7%","150,512","15.1%","636,572","18.5%","153,320","31.7%","27,320","24.8%","391,009","27.3%","400,744","32.6%","23,458","9.8%","156,854","15.6%","18,748","20.2%","12,159","3.9%"
"    $500,000 to $749,999","21,023","3.0%","7,595","7.4%","70,881","6.7%","7,160","1.7%","1,234,904","24.6%","156,075","15.7%","55,349","9.1%","9,708","5.9%","23,233","25.7%","176,490","6.2%","86,970","5.7%","55,281","32.1%","10,403","3.7%","119,236","5.9%","25,648","2.2%","12,656","2.3%","13,406","3.1%","16,490","2.5%","21,302","3.6%","9,619","4.0%","143,368","13.4%","222,042","19.6%","51,987","3.1%","58,516","5.6%","6,099","1.7%","27,677","2.8%","9,994","6.0%","7,254","2.4%","29,769","7.0%","15,270","6.3%","215,715","15.7%","11,010","3.9%","366,757","15.3%","84,255","5.2%","4,685","4.3%","45,724","2.4%","11,435","2.2%","95,489","14.2%","108,056","5.2%","11,860","6.9%","33,498","4.4%","3,582","2.8%","43,421","4.4%","173,820","5.1%","40,138","8.3%","5,938","5.4%","201,464","14.1%","191,442","15.6%","4,851","2.0%","33,277","3.3%","4,541","4.9%","2,833","0.9%"
"    $750,000 to $999,999","5,464","0.8%","1,480","1.4%","21,698","2.0%","2,800","0.7%","658,249","13.1%","45,543","4.6%","21,382","3.5%","2,696","1.6%","16,598","18.4%","53,938","1.9%","24,851","1.6%","32,032","18.6%","3,083","1.1%","40,911","2.0%","6,028","0.5%","3,119","0.6%","3,268","0.7%","5,753","0.9%","5,401","0.9%","2,484","1.0%","44,757","4.2%","76,041","6.7%","14,424","0.9%","14,280","1.4%","1,917","0.5%","9,129","0.9%","3,365","2.0%","2,058","0.7%","6,461","1.5%","3,922","1.6%","70,594","5.1%","4,084","1.5%","155,703","6.5%","25,085","1.5%","751","0.7%","13,193","0.7%","3,768","0.7%","22,447","3.3%","27,426","1.3%","2,981","1.7%","12,370","1.6%","1,081","0.8%","14,397","1.4%","51,964","1.5%","10,535","2.2%","910","0.8%","72,921","5.1%","81,460","6.6%","1,261","0.5%","9,606","1.0%","1,776","1.9%","600","0.2%"
"    $1,000,000 or more","4,706","0.7%","561","0.5%","15,426","1.4%","1,706","0.4%","763,074","15.2%","31,018","3.1%","28,861","4.7%","1,812","1.1%","15,518","17.2%","59,937","2.1%","19,772","1.3%","27,159","15.8%","2,268","0.8%","33,698","1.7%","6,438","0.6%","2,067","0.4%","2,534","0.6%","4,008","0.6%","5,286","0.9%","1,913","0.8%","31,605","2.9%","65,788","5.8%","11,066","0.7%","11,872","1.1%","1,204","0.3%","7,591","0.8%","2,497","1.5%","1,960","0.6%","7,788","1.8%","2,234","0.9%","48,520","3.5%","2,958","1.1%","178,326","7.4%","18,873","1.2%","689","0.6%","9,685","0.5%","3,050","0.6%","15,811","2.4%","20,376","1.0%","2,776","1.6%","10,973","1.5%","754","0.6%","11,711","1.2%","50,645","1.5%","7,020","1.4%","617","0.6%","41,238","2.9%","64,294","5.2%","711","0.3%","6,624","0.7%","1,319","1.4%","1,244","0.4%"
"    Median (dollars)","158,000","158,000","286,900","286,900","238,800","238,800","142,800","142,800","529,000","529,000","357,700","357,700","277,900","277,900","258,900","258,900","609,900","609,900","232,100","232,100","191,100","191,100","628,300","628,300","214,200","214,200","208,800","208,800","148,000","148,000","157,900","157,900","165,300","165,300","155,600","155,600","179,700","179,700","201,200","201,200","323,400","323,400","391,500","391,500","168,100","168,100","232,700","232,700","143,400","143,400","165,600","165,600","248,100","248,100","165,800","165,800","266,000","266,000","270,200","270,200","341,300","341,300","189,300","189,300","331,500","331,500","190,300","190,300","221,700","221,700","153,500","153,500","152,200","152,200","332,400","332,400","198,800","198,800","259,500","259,500","181,400","181,400","185,000","185,000","178,400","178,400","198,500","198,500","279,100","279,100","233,200","233,200","297,000","297,000","352,100","352,100","147,900","147,900","186,100","186,100","226,800","226,800","130,200","130,200"
