"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","1,897,576","252,199","2,670,441","1,163,647","13,157,873","2,235,103","1,377,166","376,239","291,570","7,905,832","3,852,714","465,299","655,859","4,866,006","2,597,765","1,287,221","1,138,329","1,748,732","1,741,076","573,618","2,226,767","2,650,680","3,969,880","2,222,568","1,100,229","2,458,337","437,651","771,444","1,143,557","541,396","3,286,264","793,420","7,446,812","4,046,348","323,519","4,730,340","1,495,151","1,649,352","5,119,249","407,174","1,975,915","353,799","2,654,737","9,985,126","1,023,855","262,767","3,191,847","2,932,477","728,175","2,386,623","233,128","1,170,982"
"    Less than $10,000","154,558","10,352","157,050","83,090","601,685","102,245","73,356","20,337","23,471","474,053","237,054","23,344","27,773","289,515","153,355","65,503","57,967","137,394","175,845","29,156","107,286","136,022","244,230","91,789","102,072","155,827","23,489","37,219","68,825","21,229","154,374","65,613","497,771","251,158","17,538","299,030","103,143","88,539","306,937","22,810","141,931","16,727","164,481","592,805","36,408","13,617","153,926","128,566","61,766","104,969","11,707","314,185"
"    $10,000 to $14,999","103,653","8,180","93,592","69,710","490,306","65,394","48,946","13,603","9,733","319,988","163,741","12,238","24,498","178,230","104,333","52,788","49,134","96,775","98,971","26,772","58,002","103,250","161,953","75,931","72,195","111,813","21,550","30,395","45,099","16,539","95,123","42,519","329,325","187,653","14,453","202,612","71,318","60,952","208,953","18,403","85,070","15,252","131,682","372,516","28,407","11,629","101,392","87,160","43,216","96,151","9,486","137,740"
"    $15,000 to $19,999","108,500","8,764","101,729","69,094","408,350","59,304","44,499","12,283","8,681","336,106","166,221","12,277","30,937","183,540","114,209","51,996","47,555","91,258","97,475","25,944","57,579","83,554","164,837","70,351","74,167","115,140","21,335","26,514","39,946","16,216","91,608","41,543","288,805","187,757","11,616","212,685","70,635","61,558","214,745","14,167","97,622","12,750","124,022","389,613","29,587","9,371","103,801","82,672","41,653","94,902","9,205","124,103"
"    $20,000 to $24,999","98,706","7,831","118,356","71,367","462,991","80,145","55,066","14,267","5,639","379,345","173,428","15,179","28,519","206,595","130,573","55,813","46,910","97,164","99,805","28,416","66,120","89,008","190,565","75,222","63,780","122,095","23,022","35,113","50,808","19,054","113,018","48,909","286,239","200,849","13,643","235,628","80,547","62,561","224,684","17,155","92,835","19,576","134,192","455,747","31,755","11,185","119,189","106,508","41,274","105,826","9,935","93,564"
"    $25,000 to $29,999","90,916","7,347","108,343","66,188","433,367","68,908","46,692","13,046","6,895","370,142","169,736","12,991","29,674","189,948","119,781","53,262","45,121","87,632","88,474","28,655","68,305","75,702","190,137","75,431","64,942","111,981","18,577","30,390","44,720","18,377","96,889","41,728","261,940","196,035","13,292","217,636","75,149","67,042","220,173","14,641","91,318","15,418","130,229","411,562","33,072","12,120","104,759","92,639","41,148","101,190","10,628","79,556"
"    $30,000 to $34,999","105,146","10,176","120,412","67,952","464,508","81,515","46,754","14,091","6,421","387,179","174,416","16,607","33,553","197,382","134,479","64,428","56,401","87,383","83,914","26,975","72,323","85,547","196,909","83,608","58,033","121,608","21,148","36,654","48,167","18,368","112,428","39,967","277,219","194,732","15,401","240,209","76,028","69,946","232,076","16,537","97,230","19,322","135,432","441,822","39,723","11,976","125,062","100,138","37,222","107,039","9,368","66,805"
"    $35,000 to $39,999","85,014","8,810","123,273","55,634","441,513","80,154","45,915","14,243","10,168","361,111","160,146","12,211","29,333","186,475","119,809","55,396","52,296","79,311","70,704","26,704","64,806","77,658","182,827","79,199","55,748","113,730","20,959","32,908","46,762","15,983","98,003","32,647","246,739","187,488","12,756","207,009","74,641","69,123","218,197","16,308","93,669","15,115","125,867","427,610","31,195","12,096","111,368","100,527","36,261","100,969","7,003","53,971"
"    $40,000 to $44,999","87,118","9,605","124,713","58,995","451,639","77,589","47,778","14,762","5,903","376,371","168,658","14,811","28,390","197,027","126,321","64,728","54,980","82,031","72,587","26,591","70,000","78,474","182,058","87,296","51,897","116,231","21,917","37,925","51,108","22,257","104,770","37,765","268,533","195,142","13,584","216,696","72,254","70,599","212,889","13,996","98,268","16,023","130,790","417,596","40,628","10,844","118,000","107,367","36,751","112,338","9,527","44,493"
"    $45,000 to $49,999","82,323","8,667","116,654","49,735","413,466","78,031","42,806","15,879","8,744","335,811","148,721","13,260","28,771","170,536","112,198","53,469","44,142","72,412","63,870","25,016","65,778","76,630","163,305","85,383","43,423","104,380","20,023","31,514","51,006","21,203","93,426","28,960","242,835","176,142","12,172","188,733","61,618","62,736","196,703","12,932","83,655","14,601","115,979","384,153","36,932","9,407","111,017","101,208","32,433","99,877","7,986","35,864"
